# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2581906437
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                          
# ........  ..............  ..............................  ................................................................................................................................................................................................
#
     0.07%  progetto        libLLVM-15.so.1                 [.] llvm::MachineInstr::addRegisterKilled(llvm::Register, llvm::TargetRegisterInfo const*, bool)
     0.07%  progetto        [kernel.kallsyms]               [k] perf_ctx_sched_task_cb
     0.07%  progetto        [kernel.kallsyms]               [k] __pte_offset_map_lock
     0.07%  progetto        [kernel.kallsyms]               [k] kmalloc_trace
     0.07%  progetto        [kernel.kallsyms]               [k] pointer
     0.07%  progetto        [kernel.kallsyms]               [k] is_vmalloc_addr
     0.07%  progetto        [kernel.kallsyms]               [k] anon_vma_clone
     0.07%  progetto        [kernel.kallsyms]               [k] d_namespace_path.constprop.0
     0.07%  progetto        [kernel.kallsyms]               [k] set_root
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_get_threshold_for_moves
     0.07%  progetto        libfreetype.so.6.18.1           [.] 0x00000000000512a0
     0.07%  progetto        [kernel.kallsyms]               [k] asm_exc_page_fault
     0.07%  progetto        [kernel.kallsyms]               [k] proc_single_open
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000022ddfe
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] read_tsc
     0.07%  progetto        libOpenGL.so.0.0.0              [.] glMatrixMode
     0.07%  progetto        libc.so.6                       [.] __GI_____strtoull_l_internal
     0.07%  progetto        [kernel.kallsyms]               [k] obj_cgroup_charge
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000036c930
     0.07%  progetto        [kernel.kallsyms]               [k] do_anonymous_page
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000092c423
     0.07%  progetto        liballegro.so.5.2.9             [.] al_set_errno
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000667c10
     0.07%  progetto        [kernel.kallsyms]               [k] lockless_pages_from_mm
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] _raw_spin_unlock
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f9c0
     0.07%  progetto        [kernel.kallsyms]               [k] __kmem_cache_alloc_bulk
     0.07%  progetto        liballegro.so.5.2.9             [.] sincosf@plt
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] kmem_cache_alloc
     0.07%  progetto        [kernel.kallsyms]               [k] apparmor_file_permission
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_fence_release_scheduled
     0.07%  progetto        libOpenGL.so.0.0.0              [.] glTexCoordPointer
     0.07%  progetto        libc.so.6                       [.] __errno_location
     0.07%  progetto        [kernel.kallsyms]               [k] put_dec_trunc8
     0.07%  progetto        [kernel.kallsyms]               [k] __memcg_slab_free_hook
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f840
     0.07%  progetto        [kernel.kallsyms]               [k] entry_SYSRETQ_unsafe_stack
     0.07%  progetto        [kernel.kallsyms]               [k] prepare_task_switch
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] kfree
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000036cb0f
     0.07%  progetto        liballegro.so.5.2.9             [.] 0x00000000000e80a9
     0.07%  progetto        [kernel.kallsyms]               [k] apparmor_file_open
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] drm_ioctl
     0.07%  progetto        [kernel.kallsyms]               [k] __aa_path_perm
     0.07%  progetto        [kernel.kallsyms]               [k] apparmor_socket_recvmsg
     0.06%  progetto        [kernel.kallsyms]               [k] security_file_free
     0.06%  progetto:cs0    [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.06%  progetto        radeonsi_dri.so                 [.] 0x000000000092c420
     0.06%  progetto        radeonsi_dri.so                 [.] 0x0000000000153200
     0.06%  progetto        [kernel.kallsyms]               [k] __x64_sys_futex
     0.06%  progetto        [kernel.kallsyms]               [k] update_curr_rt
     0.06%  progetto:cs0    [kernel.kallsyms]               [k] drm_gem_object_lookup
     0.06%  progetto        [kernel.kallsyms]               [k] __check_heap_object
     0.06%  progetto        [kernel.kallsyms]               [k] proc_task_name
     0.06%  progetto        [kernel.kallsyms]               [k] __update_load_avg_se
     0.06%  progetto        libc.so.6                       [.] sem_wait@@GLIBC_2.34
     0.06%  progetto        [kernel.kallsyms]               [k] syscall_return_via_sysret
     0.06%  progetto        radeonsi_dri.so                 [.] 0x00000000008ba827
     0.06%  progetto        [kernel.kallsyms]               [k] delay_halt_mwaitx
     0.06%  progetto        liballegro.so.5.2.9             [.] _al_pixel_format_is_compressed
     0.06%  progetto        [kernel.kallsyms]               [k] os_xsave
     0.06%  progetto        [kernel.kallsyms]               [k] _copy_to_iter
     0.06%  progetto        [kernel.kallsyms]               [k] current_obj_cgroup
     0.06%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000050c00
     0.06%  progetto        [kernel.kallsyms]               [k] __d_lookup_rcu
     0.06%  progetto        [kernel.kallsyms]               [k] irqentry_enter
     0.06%  progetto        [kernel.kallsyms]               [k] handle_mm_fault
     0.06%  progetto:cs0    libdrm_amdgpu.so.1.0.0          [.] amdgpu_cs_submit_raw2
     0.06%  progetto        radeonsi_dri.so                 [.] 0x00000000003d3620
     0.06%  progetto        progetto                        [.] move_shape(void*)
     0.06%  progetto        radeonsi_dri.so                 [.] 0x00000000002ff3f0
     0.06%  progetto        [kernel.kallsyms]               [k] select_idle_sibling
     0.06%  progetto        libc.so.6                       [.] cfree@GLIBC_2.2.5
     0.06%  progetto:cs0    radeonsi_dri.so                 [.] 0x000000000092c2da
     0.06%  progetto        [kernel.kallsyms]               [k] __x64_sys_close
     0.06%  progetto        liballegro.so.5.2.9             [.] al_free_with_context
     0.06%  progetto:cs0    [kernel.kallsyms]               [k] check_stack_object
     0.06%  progetto        liballegro.so.5.2.9             [.] _al_vector_ref
     0.06%  progetto        liballegro_font.so.5.2.9        [.] al_get_glyph_advance
     0.06%  progetto        radeonsi_dri.so                 [.] 0x000000000023ef00
     0.06%  progetto        [kernel.kallsyms]               [k] seq_putc
     0.06%  progetto        radeonsi_dri.so                 [.] 0x00000000003d05c0
     0.06%  progetto        [kernel.kallsyms]               [k] update_sd_pick_busiest
     0.06%  progetto        radeonsi_dri.so                 [.] 0x0000000000234270
     0.06%  progetto        [kernel.kallsyms]               [k] copy_from_kernel_nofault_allowed
     0.06%  progetto        [kernel.kallsyms]               [k] local_clock_noinstr
