# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.11%  progetto        libc.so.6                       [.] _IO_no_init
     0.11%  progetto        [kernel.kallsyms]               [k] update_sg_lb_stats
     0.11%  progetto        libGLX_mesa.so.0.0.0            [.] pthread_mutex_lock@plt
     0.11%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e770
     0.11%  progetto        [kernel.kallsyms]               [k] map_id_up
     0.11%  progetto        libc.so.6                       [.] __strtoull_internal
     0.11%  progetto        liballegro.so.5.2.9             [.] al_get_system_driver
     0.11%  progetto        [kernel.kallsyms]               [k] security_socket_recvmsg
     0.11%  progetto        [kernel.kallsyms]               [k] copy_from_kernel_nofault
     0.11%  progetto        liballegro.so.5.2.9             [.] al_draw_tinted_bitmap_region
     0.11%  progetto        liballegro.so.5.2.9             [.] al_use_transform
     0.11%  progetto        libc.so.6                       [.] __libc_recvmsg
     0.10%  progetto        liballegro.so.5.2.9             [.] 0x00000000000e7fba
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_placement_from_domain
     0.10%  progetto        radeonsi_dri.so                 [.] 0x0000000000230d70
     0.10%  progetto        [kernel.kallsyms]               [k] ____sys_recvmsg
     0.10%  progetto        [kernel.kallsyms]               [k] proc_self_get_link
     0.10%  progetto        [kernel.kallsyms]               [k] proc_pid_status
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] is_vmalloc_addr
     0.10%  progetto        libc.so.6                       [.] __strstr_sse2
     0.10%  progetto        libgcc_s.so.1                   [.] __popcountdi2
     0.10%  progetto        [kernel.kallsyms]               [k] __kmalloc_node
     0.10%  progetto        [kernel.kallsyms]               [k] link_path_walk.part.0.constprop.0
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] __dma_fence_enable_signaling
     0.10%  progetto        libc.so.6                       [.] sem_post@GLIBC_2.2.5
     0.10%  progetto        libc.so.6                       [.] _IO_old_init
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_unref
     0.10%  progetto        liballegro_font.so.5.2.9        [.] al_get_glyph_advance
     0.10%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005120a
