# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 2617849324
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                 
# ........  ..............  ..............................  .......................................................................................................................................................................................................................................................................
#
     0.07%  progetto        libGLX_mesa.so.0.0.0            [.] pthread_mutex_lock@plt
     0.07%  progetto        [kernel.kallsyms]               [k] mod_objcg_state
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] do_vfs_ioctl
     0.07%  progetto        libOpenGL.so.0.0.0              [.] glEnable
     0.07%  progetto        liballegro.so.5.2.9             [.] al_get_bitmap_blend_color
     0.07%  progetto        liballegro.so.5.2.9             [.] _al_bvcformata
     0.07%  progetto        [kernel.kallsyms]               [k] get_pid_task
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_placement_from_domain
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_ctx_wait_prev_fence
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000092c420
     0.07%  progetto        [kernel.kallsyms]               [k] proc_reg_release
     0.07%  progetto        [kernel.kallsyms]               [k] proc_pid_permission
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000234040
     0.07%  progetto        radeonsi_dri.so                 [.] 0x0000000000666be0
     0.07%  progetto        [kernel.kallsyms]               [k] __pte_offset_map
     0.07%  progetto        liballegro.so.5.2.9             [.] al_get_system_driver
     0.07%  progetto        libc.so.6                       [.] __mpn_lshift
     0.07%  progetto        [kernel.kallsyms]               [k] filp_flush
     0.07%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051207
     0.07%  progetto        [kernel.kallsyms]               [k] terminate_walk
     0.07%  progetto        liballegro.so.5.2.9             [.] al_scale_transform
     0.07%  progetto        [kernel.kallsyms]               [k] get_iowait_time
     0.07%  progetto        liballegro_ttf.so.5.2.9         [.] FT_Get_Kerning@plt
     0.07%  progetto        [kernel.kallsyms]               [k] percpu_counter_add_batch
     0.07%  progetto        [kernel.kallsyms]               [k] filemap_map_pages
     0.07%  progetto        [kernel.kallsyms]               [k] schedule
     0.07%  progetto        [kernel.kallsyms]               [k] proc_self_get_link
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] ttwu_queue_wakelist
     0.07%  progetto        [kernel.kallsyms]               [k] os_xsave
     0.07%  progetto        libc.so.6                       [.] __vsnprintf_internal
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000fbc0
     0.07%  progetto        libLLVM-15.so.1                 [.] 0x0000000002eebbe8
     0.07%  progetto        [kernel.kallsyms]               [k] dequeue_entity
     0.07%  progetto        [kernel.kallsyms]               [k] apparmor_inode_getattr
     0.07%  progetto        [kernel.kallsyms]               [k] sched_clock_cpu
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] ttm_resource_move_to_lru_tail
     0.07%  progetto        liballegro.so.5.2.9             [.] al_is_bitmap_drawing_held
     0.07%  progetto        [kernel.kallsyms]               [k] expand_files
     0.07%  progetto        libGLdispatch.so.0.0.0          [.] 0x0000000000040950
     0.07%  progetto        [kernel.kallsyms]               [k] set_root
     0.07%  progetto        [kernel.kallsyms]               [k] dput
     0.07%  progetto        libOpenGL.so.0.0.0              [.] glGetIntegerv
